index,Raw Requirements,Requirement with Standard Syntax, type,Domain,sub_domain,raw_length,standard_length,clean_raw_length,clean_standard_length,POS,Boilerplate Sentence
0,game must developed using unity game engine,game shall developed using unity game engine,0,Game,Mobile app,54,51,43,44,"[('game', 'NN'), ('must', 'MD'), ('developed', 'VB'), ('using', 'VBG'), ('unity', 'JJ'), ('game', 'NN'), ('engine', 'NN')]",The system shall developed using unity game engine
1,game must programmed using c# language library compatible unity engine,game shall written c# use unity engine-compatible libraries.,0,Game,Mobile app,100,74,70,60,"[('game', 'NN'), ('must', 'MD'), ('programmed', 'VB'), ('using', 'VBG'), ('c', 'JJ'), ('#', '#'), ('language', 'NN'), ('library', 'JJ'), ('compatible', 'JJ'), ('unity', 'NN'), ('engine', 'NN')]",The system shall programmed using c library compatible game language unity engine
2,game must feature accurate sound effect music conveys atmosphere correctly,game shall feature accurate sound effect music conveys atmosphere correctly,0,Game,Mobile app,92,93,74,75,"[('game', 'NN'), ('must', 'MD'), ('feature', 'VB'), ('accurate', 'JJ'), ('sound', 'JJ'), ('effect', 'NN'), ('music', 'NN'), ('conveys', 'NN'), ('atmosphere', 'RB'), ('correctly', 'RB')]",The system shall feature accurate sound game effect music conveys
3,game must playable using keyboard key mouse,game shall playable using mouse keyboard.,0,Game,Mobile app,59,52,43,41,"[('game', 'NN'), ('must', 'MD'), ('playable', 'VB'), ('using', 'VBG'), ('keyboard', 'JJ'), ('key', 'NN'), ('mouse', 'NN')]",The system shall playable using keyboard game key mouse
4,game must offer compelling story convey special message player,game shall offer compelling story convey special message player,0,Game,Mobile app,89,90,62,63,"[('game', 'NN'), ('must', 'MD'), ('offer', 'VB'), ('compelling', 'VBG'), ('story', 'NN'), ('convey', 'NN'), ('special', 'JJ'), ('message', 'NN'), ('player', 'NN')]",The system shall offer compelling special game story convey message player
5,game must implement ai enemy npc offer complete experience,game shall implement ai enemy npc offer complete experience,0,Game,Mobile app,81,82,58,59,"[('game', 'NN'), ('must', 'MD'), ('implement', 'VB'), ('ai', 'JJ'), ('enemy', 'NN'), ('npc', 'NN'), ('offer', 'VBP'), ('complete', 'JJ'), ('experience', 'NN')]",The system shall implement offer ai complete game enemy npc experience
6,game must challenge user think build strategy complete game,game shall challenge user think build strategy complete game,0,Game,Mobile app,83,84,59,60,"[('game', 'NN'), ('must', 'MD'), ('challenge', 'VB'), ('user', 'JJ'), ('think', 'NN'), ('build', 'VB'), ('strategy', 'NN'), ('complete', 'JJ'), ('game', 'NN')]",The system shall challenge build user complete game think strategy
7,user shall able register system.,system shall allow user register,0,Game,Mobile app,54,43,32,32,"[('user', 'RB'), ('shall', 'MD'), ('able', 'JJ'), ('register', 'NN'), ('system', 'NN'), ('.', '.')]",The system shall  able register system
8,login available website,system shall provide login option.,0,Game,Mobile app,40,40,23,34,"[('login', 'NN'), ('available', 'JJ'), ('website', 'NN')]",The system shall  available login website
9,request cricket tournament available user.,system shall provide request cricket tournament user.,0,Game,Mobile app,59,68,42,53,"[('request', 'NN'), ('cricket', 'NN'), ('tournament', 'NN'), ('available', 'JJ'), ('user', 'NN'), ('.', '.')]",The system shall  available request cricket tournament user
10,name tournament available system,system shall provide name tournament.,0,Game,Mobile app,52,48,32,37,"[('name', 'NN'), ('tournament', 'NN'), ('available', 'JJ'), ('system', 'NN')]",The system shall  available name tournament system
11,starting ending date tournament available,system shall provide starting ending date tournament.,0,Game,Mobile app,58,64,41,53,"[('starting', 'VBG'), ('ending', 'VBG'), ('date', 'NN'), ('tournament', 'NN'), ('available', 'JJ')]",The system shall starting ending available date tournament
12,"team player names, contact number city name","team player shall names, contact number city name",0,Game,Mobile app,72,73,43,49,"[('team', 'NN'), ('player', 'NN'), ('names', 'NNS'), (',', ','), ('contact', 'JJ'), ('number', 'NN'), ('city', 'NN'), ('name', 'NN')]",The system shall  contact team player number city name
13,website shall assign user specific id.,system shall assign user specific id.,0,Game,Mobile app,48,47,38,37,"[('website', 'JJ'), ('shall', 'MD'), ('assign', 'VB'), ('user', 'JJ'), ('specific', 'JJ'), ('id', 'NN'), ('.', '.')]",The system shall assign website user specific id
14,player firstname lastname dob email contact city address,"system shall allow player enter first name, last name, dob, email, contact no, address city.",0,Game,Mobile app,84,113,56,92,"[('player', 'NN'), ('firstname', 'NN'), ('lastname', 'NN'), ('dob', 'JJ'), ('email', 'JJ'), ('contact', 'NN'), ('city', 'NN'), ('address', 'NN')]",The system shall  dob email player firstname lastname contact city address
15,player specific player id team id.,system shall provide specific player id team id player..,0,Game,Mobile app,64,76,34,56,"[('player', 'NN'), ('specific', 'JJ'), ('player', 'NN'), ('id', 'NN'), ('team', 'NN'), ('id', 'NN'), ('.', '.')]",The system shall  specific player id team
16,website shall enable store role (batsmen/bowler) player.,system shall store role (batsmen/bowler) player.,0,Game,Mobile app,75,64,56,48,"[('website', 'JJ'), ('shall', 'MD'), ('enable', 'VB'), ('store', 'NN'), ('role', 'NN'), ('(', '('), ('batsmen/bowler', 'NN'), (')', ')'), ('player', 'NN'), ('.', '.')]",The system shall enable website store role batsmen/bowler player
17,website also store date tournament match.,system shall store date tournament match.,0,Game,Mobile app,61,56,41,41,"[('website', 'NN'), ('also', 'RB'), ('store', 'NN'), ('date', 'NN'), ('tournament', 'NN'), ('match', 'NN'), ('.', '.')]",The system shall   website store date tournament match
18,every match detail specific match detail id,system shall provide specific id every match detail.,0,Game,Mobile app,55,61,43,52,"[('every', 'DT'), ('match', 'NN'), ('detail', 'NN'), ('specific', 'JJ'), ('match', 'NN'), ('detail', 'NN'), ('id', 'NN')]",The system shall  specific match detail id
19,every match specific scorecard access match detail,system shall able specific scorecard access match detail,0,Game,Mobile app,84,96,50,56,"[('every', 'DT'), ('match', 'NN'), ('specific', 'JJ'), ('scorecard', 'JJ'), ('access', 'NN'), ('match', 'NN'), ('detail', 'NN')]",The system shall  specific scorecard match access detail
20,match scorecard contain total run specific match,system shall match scorecard contain total run specific match.,0,Game,Mobile app,69,93,48,62,"[('match', 'NN'), ('scorecard', 'NN'), ('contain', 'VBP'), ('total', 'JJ'), ('run', 'NN'), ('specific', 'JJ'), ('match', 'NN')]",The system shall contain total specific match scorecard run
