Projects,Raw Requirements,Requiremnet Name,Type,Requirement with Standard Syntax(previous),, type,Requirement with Standard Syntax,Domain,sub_domain,
PR-01,The Game must be developed using the Unity Game Engine,Game Engine,Ubiquitous,The game shall be developed using unity game engine,,ubiquitous,The game shall be developed using unity game engine,Game,Mobile app,
PR-01,The Game must be programmed using the C# language and its libraries compatible with the Unity Engine,Language,Ubiquitous,The game shall be written in C# and use Unity Engine-compatible libraries.,,ubiquitous,The game shall be written in C# and use Unity Engine-compatible libraries.,Game,Mobile app,
PR-01,The Game must feature accurate sound effects and music that conveys the atmosphere correctly,Audio,Ubiquitous,The Game shall feature accurate sound effects and music that conveys the atmosphere correctly,,ubiquitous,The Game shall feature accurate sound effects and music that conveys the atmosphere correctly,Game,Mobile app,
PR-01,The Game must be playable using the keyboard keys and mouse,Control,Ubiquitous,The game shall be playable using mouse and keyboard.,,ubiquitous,The game shall be playable using mouse and keyboard.,Game,Mobile app,
PR-01,The Game must offer a compelling story which will convey a special message to the players,Story,Ubiquitous,The Game shall offer a compelling story which will convey a special message to the players,,ubiquitous,The Game shall offer a compelling story which will convey a special message to the players,Game,Mobile app,
PR-01,The Game must implement AI for the enemies and NPC to offer a complete experience,AI,Ubiquitous,The Game shall implement AI for the enemies and NPC to offer a complete experience,,ubiquitous,The Game shall implement AI for the enemies and NPC to offer a complete experience,Game,Mobile app,
PR-01,The Game must challenge the user to think and build strategies to complete the game,Gameplay,Ubiquitous,The Game shall challenge the user to think and build strategies to complete the game,,ubiquitous,The Game shall challenge the user to think and build strategies to complete the game,Game,Mobile app,
PR-04,The user shall be able to register with in the system.,Registration,Ubiquitous,The system will allow the user to register,,ubiquitous,The system shall allow the user to register,Game,Mobile app,
PR-04,Login should be available in the website,Sign In/ Login,Ubiquitous,The system shall provide a login option.,,ubiquitous,The system shall provide a login option.,Game,Mobile app,
PR-04,Request Cricket Tournament should be available to the user.,Tournament,Ubiquitous,the System shall provide the Request Cricket Tournament to the user.,,ubiquitous,the System shall provide the Request Cricket Tournament to the user.,Game,Mobile app,
PR-04,Name of Tournament should be available to the system,Tournament,Ubiquitous,The system shall provide the Name of Tournament.,,ubiquitous,The system shall provide the Name of Tournament.,Game,Mobile app,
PR-04,Starting and ending date of tournament should be available,Tournament,Ubiquitous,The system shall provide starting and ending date of tournament.,,ubiquitous,The system shall provide starting and ending date of tournament.,Game,Mobile app,
PR-04,"Each team players will have Names, Contacts numbers and their City names",Teams,Ubiquitous,"Each team players shall have Names, Contacts numbers and their City names",,ubiquitous,"the  team players shall have Names, Contacts numbers and their City names",Game,Mobile app,
PR-04,The website shall assign the user a specific ID.,Player,Ubiquitous,The system shall assign the user a specific ID.,,ubiquitous,The system shall assign the user a specific ID.,Game,Mobile app,
PR-04,"Each player will have their own
FirstName
LastName
DOB email
contact no
city
address",Player,Ubiquitous,"The system shall allow the player to enter their First name, Last Name, DOB, Email, Contact no, Address and City.",,ubiquitous,"The system shall allow the player to enter their First name, Last Name, DOB, Email, Contact no, Address and City.",Game,Mobile app,
PR-04,Each Players will have their own specific player id and team id.,Player Details,Ubiquitous,The system shall provide the specific player id and team id to each player..,,ubiquitous,The system shall provide the specific player id and team id to each player..,Game,Mobile app,
PR-04,The website shall enable to store the Roles (Batsmen/bowler) of the player.,Player Details,Ubiquitous,The system shall store the Roles (Batsmen/bowler) of the player.,,ubiquitous,The system shall store the Roles (Batsmen/bowler) of the player.,Game,Mobile app,
PR-04,The website will also store the Date of the tournament match.,Matches,Ubiquitous,The system shall store the Date of the tournament match.,,ubiquitous,The system shall store the Date of the tournament match.,Game,Mobile app,
PR-04,Every Match Detail will have a specific Match detail ID,Match Details,Ubiquitous,The system shall provide a specific ID to every match detail.,,ubiquitous,The system shall provide a specific ID to every match detail.,Game,Mobile app,
PR-04,Every Match will have a specific scorecard which can be access through Match details,Match Scorecard,Ubiquitous,The system shall give  a specific scorecard to every match  which can be access through match details.,,ubiquitous,The system shall be able to  have a specific scorecard which can be access through Match details,Game,Mobile app,
PR-04,The Match Scorecard will contain the total runs of the specific match,Match Scorecard,Ubiquitous,The system shall have the match scorecard which contain the total runs of the specific match.,,ubiquitous,The system shall have the match scorecard which contain the total runs of the specific match.,Game,Mobile app,
PR-04,The match scorecard will have also the Match and Teams id who are playing in the tournament,Match Scorecard,Ubiquitous,The system shall have match scorecard shall which contains the match and teams id who are playing in the tournament.,,ubiquitous,The system shall provide  scorecard which contains the Match and Teams id who are playing in the tournament,Game,Mobile app,
PR-04,The Match Scorecard will have a respective Batting Scorecard and a Bowling Scorecard,Match Scorecard,Ubiquitous,The system shall have match scorecard which contain respective batting scorecard and a bowling scorecard.,,ubiquitous,The system shall have match scorecard which contain respective batting scorecard and a bowling scorecard.,Game,Mobile app,
,,,,,,ubiquitous,The system shall have player id and a match id,Game,Mobile app,
PR-04,The Batting Scorecard will have player id and match id and will store information about total Score total Sixes total Fours total Balls total Score,Match Scorecard,State-Driven,"The Batting Scorecard shall include a player id and a match id, as well as details on total Score, total Sixes, total Fours, and total Balls.",,ubiquitous,The system shall store information about total Score total Sixes total Fours total Balls and total Score,Game,Mobile app,
,,,,,,ubiquitous,The Bowling Scorecard will have player id and match id,Game,Mobile app,
PR-04,The Bowling Scorecard will have player id and match id and will store information about total Wickets total Overs total Wickets total Maiden total Score,Match Scorecard,Ubiquitous,"The Bowling Scorecard shall have a player id and a match id, as well as total Wickets, total Overs, total Wickets, total Maiden, and total Score details.",,ubiquitous,will store information about total Wickets total Overs total Wickets total Maiden total Score,Game,Mobile app,
PR-04,The website will enable to store all details of the Bowlers with a specific Bowler id.,Bowler details,Ubiquitous,The system shall allow to store all details of the Bowlers with a specific Bowler id.,,ubiquitous,The system shall allow to store all details of the Bowlers with a specific Bowler id.,Game,Mobile app,
PR-04,"The website shall be enable to store Match id
Player ID
Total
Matches
Total Wickets
average total
Overs total
Balls",Bowler details,Ubiquitous,"""Match id,Player ID,Total,Matches,Total Wickets,average total,Overs total,Balls""shalll be stored on the website.",,ubiquitous,"the system shall store Match id,Player ID,Total,Matches,Total Wickets,average total,Overs total,Balls on the website.",Game,Mobile app,
PR-04,"The website shall be enable to store player id
Total Matches average total Score total
Sixes total Fours Total
Balls.",Batsmen Details,Ubiquitous,"""The system shall store player ids, total matches average total, score total, sixes total fours total balls, and total balls.""",,ubiquitous,"""The system shall store player ids, total matches average total, score total, sixes total fours total balls, and total balls.""",Game,Mobile app,
PR-04,The website shall be enable to store every Team Record with a specific team Id,Team Records,Ubiquitous,The system shall store every Team Record with a specific teamId.,,ubiquitous,The system shall store every Team Record with a specific teamId.,Game,Mobile app,
PR-04,"The website shall be enable to store team_Id totalMatches
Total Win
Total Lose
Total Draw
Low Total
High Total",Team Records,Ubiquitous,"The website shall store team_Id totalMatches,Total Win,Total Lose,Total Draw,Low Total,High Total",,ubiquitous,"The website shall store team_Id totalMatches,Total Win,Total Lose,Total Draw,Low Total,High Total",Game,Mobile app,
PR-05,The system shall enable the patient to create an online account.,Patient,Ubiquitous,The system shall allow the patient to create an online account.,,ubiquitous,The system shall allow the patient to create an online account.,Medical,,
PR-05,The system shall enable the patient to see/check a doctor profile.,Patient,Event-Driven,"When there is a doctor profile, the system shall allow the patient to see/check profile.",,ubiquitous,The system shall enable the patient to see/check a doctor profile.,Medical,,
PR-05,The system shall enable the patient to see/check the services of a hospital.,Patient,Event-Driven,"When hospitals services are provided, the system shall enable the patient to see/check services of hospital.",,ubiquitous,The system shall allow the patient to see/check the services of a hospital.,Medical,,
PR-05,The system shall enable the patient to see/check the services of a clinic.,Patient,Event-Driven,"When clinics services are provided, the system shall enable the patient to see/check services of clinics.",,ubiquitous,The system shall allow the patient to see/check the services of a clinic.,Medical,,
PR-05,The system shall enable the patient to see the appointment information online.,Patient,Event-Driven,"When information of appointment are available, the system shall allow the  patient to see information.",,ubiquitous,The system shall allow the patient to see the appointment information online.,Medical,,
PR-05,The system shall enable the doctor to register his account.,Doctor,Ubiquitous,The system shall allow the doctor to register his account.,,ubiquitous,The system shall allow the doctor to register his account.,Medical,,
PR-05,The system shall enable the doctor to log in to his account.,Doctor,Event-Driven,"When the doctor is registered, the system shall allow the doctor to login.",,ubiquitous,"When the doctor is registered, the system shall allow the doctor to login.",Medical,,
PR-05,The system shall enable the doctor to change slots to available/not available.,Doctor,Ubiquitous,The system shall allow the doctor to change slots to available/not available.,,ubiquitous,The system shall allow the doctor to change slots to available/not available.,Medical,,
PR-05,"The system shall enable the Guest/Visitor to search for the doctors based on specialization, location and gender.",Guest/Visitor,Ubiquitous,"The system shall allow the Guest/Visitor to search for the doctors based on specialization, location and gender.",,ubiquitous,"The system shall allow the Guest/Visitor to search for the doctors based on specialization, location and gender.",Medical,,
PR-05,"The system shall enable the Guest/Visitor to search for the outside doctors based on specialization, gender and country.",Guest/Visitor,Ubiquitous,"The system shall allow the Guest/Visitor to search for the outside doctors based on specialization, gender and country.",,ubiquitous,"The system shall allow the Guest/Visitor to search for the outside doctors based on specialization, gender and country.",Medical,,
PR-05,The system shall enable the Guest/Visitor to search for the hospitals based on location and name.,Guest/Visitor,Ubiquitous,The system shall alow the Guest/Visitor to search for the hospitals based on location and name.,,ubiquitous,The system shall alow the Guest/Visitor to search for the hospitals based on location and name.,Medical,,
PR-05,The system shall enable the Guest/Visitor to search for the clinics based on location and name.,Guest/Visitor,Ubiquitous,The system shall allow the Guest/Visitor to search for the clinics based on location and name.,,ubiquitous,The system shall allow the Guest/Visitor to search for the clinics based on location and name.,Medical,,
PR-05,The system shall enable the Guest/Visitor to search for the medical stores based on location and name.,Guest/Visitor,Ubiquitous,The system shall allow the Guest/Visitor to search for the medical stores based on location and name.,,ubiquitous,The system shall allow the Guest/Visitor to search for the medical stores based on location and name.,Medical,,
PR-05,The system shall enable the Guest/Visitor to search for the medicine industries.,Guest/Visitor,Ubiquitous,The system shall allow the Guest/Visitor to search for the medicine industries.,,ubiquitous,The system shall allow the Guest/Visitor to search for the medicine industries.,Medical,,
PR-05,The system shall enable the Guest/Visitor to see/check a doctor profile.,Guest/Visitor,Event-Driven,"When there is a doctor profile, the system shall allow the Guest/Visitor to see/check.",,ubiquitous,The system shall enable the Guest/Visitor to see/check a doctor profile.,Medical,,
PR-05,The system shall enable the Guest/Visitor to see/check the services of a hospital.,Guest/Visitor,Event-Driven,"When the hospital services are provided, the system shall allow the Guest/Visitor to see/check.",,ubiquitous,The system shall enable the Guest/Visitor to see/check the services of a hospital.,Medical,,
PR-05,The system shall enable the Guest/Visitor to see/check the services of a clinic.,Guest/Visitor,Event-Driven,"When the clinic services are provided, the system shall allow the Guest/Visitor to see/check.",,ubiquitous,The system shall enable the Guest/Visitor to see/check the services of a clinic.,Medical,,
PR-05,The system shall enable the super admin to log in to his account.,Super Admin,Ubiquitous,The system shall allow the super admin to log in to his account.,,ubiquitous,The system shall allow the super admin to log in to his account.,Medical,,
PR-06,"Extra admin clients have to provide following information in order to register: Email, Password, Full Name, Profile Picture (Optional, About Me (Optional), Address (Optional).",Sign up,Ubiquitous,"The system shall allow the extra admin client to provide following information in order to register: Email, Password, Full Name, Profile Picture (Optional, About Me (Optional), Address (Optional).",,ubiquitous,"The system shall allow the extra admin client to provide following information in order to register: Email, Password, Full Name, Profile Picture (Optional, About Me (Optional), Address (Optional).",Event,,
PR-06,Clients will be able to change password from their profile.,Change password,Ubiquitous,The system shall allow the client to change their password from their profile.,,ubiquitous,The system shall allow the client to change their password from their profile.,Event,,
PR-06,Clients will be asked for old password for verification.,Change password,Event-Driven,"When clients change their password, the system shall asked for old password for verification.",,ubiquitous,the system shall be asked for old password for verification.,Event,,
PR-06,Information updated by the user will be validated before being updated.,Modify profile,Ubiquitous,The system shall update the user information and user make sure this information shall be valid before being updated.,,ubiquitous,The system shall update the user information and user make sure this information shall be valid before being updated.,Event,,
PR-06,Profile picture updated by the user will be validated before being updated.,Modify profile,Ubiquitous,The system shall validate the updated profile picture of the user before being updated.,,ubiquitous,The system shall validate the updated profile picture of the user before being updated.,Event,,
PR-06,Clients will be able to see complete details about a particular ad that were acquired from the vendor.,Display ads,Ubiquitous,The system shall allow the clients  to see complete details about a particular ad that were acquired from the vendor.,,ubiquitous,The system shall allow the clients  to see complete details about a particular ad that were acquired from the vendor.,Event,,
PR-06,Client will be able to view ratings and reviews for ad they are viewing.,Display ads,Ubiquitous,The system shall allow the client to view ratings and reviews for ad they are viewing.,,ubiquitous,The system shall allow the client to view ratings and reviews for ad they are viewing.,Event,,
PR-06,Vendor will be able to feature their published ads by paying via credit card.,Feature published Ads,Ubiquitous,The systen shall allow the vendor  to feature their published ads by paying via credit card.,,ubiquitous,The systen shall allow the vendor  to feature their published ads by paying via credit card.,Event,,
PR-06,The published ads will get a featured status after being featured.,Feature published Ads,Ubiquitous,The system shall give a faetured status to published ads after being featured.,,ubiquitous,The system shall give a faetured status to published ads after being featured.,Event,,
PR-06,"Consumer  will be able to send a booking request to the vendors through web application that will include following information:
Name, Phone Number, Email, Function Type, Message.",Booking venue,Ubiquitous,"The system shall allow the clients to send a booking request to the vendors through web application that will include following information:
Name, Phone Number, Email, Function Type, Message.",,ubiquitous,"The system shall allow the clients to send a booking request to the vendors through web application that will include following information:
Name, Phone Number, Email, Function Type, Message.",Event,,
PR-06,Registered and verified  clients will be able to give feedback for the ads.,Rating and feedback on ads,Ubiquitous,The system shall allow the registered and verified clients to give feedback for the ads.,,ubiquitous,The system shall allow the registered and verified clients to give feedback for the ads.,Event,,
PR-06,Registered and verified clients will be able to rate ads.,Rating and feedback on ads,Ubiquitous,The system shall aloow the registered and verified clients to rate ads.,,ubiquitous,The system shall aloow the registered and verified clients to rate ads.,Event,,
PR-06,Message would be sent via email.,Send Messages,Ubiquitous,The system shall sent messages via email.,,ubiquitous,The system shall sent messages via email.,Event,,
PR-06,"Users will be able to perform basic search for ads on the basis of categories (Hotel Hall, Banquet Hall, Farmhouse, and Marquee) and venue name.",Searching ads,Ubiquitous,"The system shall allow the users to perform basic search for ads on the basis of categories (Hotel Hall, Banquet Hall, Farmhouse, and Marquee) and venue name.",,ubiquitous,"The system shall allow the users to perform basic search for ads on the basis of categories (Hotel Hall, Banquet Hall, Farmhouse, and Marquee) and venue name.",Event,,
PR-06,"Users will be able to perform advanced searches for ads on the basis of categories (Hotel Hall, Banquet Hall, Farmhouse, and Marquee), cities and price range.",Searching ads,Ubiquitous,"The system shall allow the users to perform advanced searches for ads on the basis of categories (Hotel Hall, Banquet Hall, Farmhouse, and Marquee), cities and price range.",,ubiquitous,"The system shall allow the users to perform advanced searches for ads on the basis of categories (Hotel Hall, Banquet Hall, Farmhouse, and Marquee), cities and price range.",Event,,
PR-06,"Clients will be provided with quick search links for cities, categories and price ranges.",Searching ads,Ubiquitous,"The system shall provided with quick search links for cities, categories and price ranges to clients.",,ubiquitous,"The system shall provided with quick search links for cities, categories and price ranges to clients.",Event,,
PR-06,Popular ads of consumer client? area will be displayed on the landing page.,Display popular Ads,Ubiquitous,The system shall display the popular ads of consumer client's area on the landing page.,,ubiquitous,The system shall display the popular ads of consumer client's area on the landing page.,Event,,
PR-06,Featured ads will be displayed to the consumer client on the lading page.,Display featured ads requirements,Ubiquitous,The system shall display the featured ads to the consumer client on the lading page.,,ubiquitous,The system shall display the featured ads to the consumer client on the lading page.,Event,,
PR-08,The system should provide registration page for the user.,User,Ubiquitous,The system shall provide registration page for the user.,,ubiquitous,The system shall provide registration page for the user.,Education,,
PR-08,User have a profile.,User,Ubiquitous,The system shall create the user profile.,,ubiquitous,The system shall create the user profile.,Education,,
PR-09,The application allow user to signup into system,Driver Registration,Ubiquitous,The system shall allow user to signup into the system.,,ubiquitous,The system shall allow user to signup into the system.,Driving,,
PR-09,"The application allows user to signup into system by providing his/her name, email, contact, password.",Driver Registration,Ubiquitous,"The system shall allow the user to signup into system by providing his/her name, email, contact, password.",,ubiquitous,"The system shall allow the user to signup into system by providing his/her name, email, contact, password.",Driving,,
PR-09,The application shall enable driver to SignIn into system by providing his / her valid email and password,Driver Login,Event-Driven,"When user registered, the system shall allow the driver to SignIn into system by providing his / her valid email and password",,ubiquitous,"When user registered, the system shall allow the driver to SignIn into system by providing his / her valid email and password",Driving,,
PR-09,The application shall enable the driver to select his/ her Gender,Driver Profile,Ubiquitous,The system shall allow the driver to select his/ her Gender.,,ubiquitous,The system shall allow the driver to select his/ her Gender.,Driving,,
PR-09,The application shall enable the driver to upload his/her picture,Driver Profile,Ubiquitous,The system shall allow the driver to upload his/her picture.,,ubiquitous,The system shall allow the driver to upload his/her picture.,Driving,,
PR-09,The application shall enable driver to insert his / her CNIC#,Driver Profile,Ubiquitous,The system shall allow the driver to insert his / her CNIC#,,ubiquitous,The system shall allow the driver to insert his / her CNIC#,Driving,,
PR-09,The application shall enable the driver to insert his /her City,Driver Profile,Ubiquitous,The system shall allow the driver to insert his/her City.,,ubiquitous,The system shall allow the driver to insert his/her City.,Driving,,
PR-09,Application shall allow user to register into system,User Registration,Ubiquitous,The system shall allow the user to register.,,ubiquitous,The system shall allow the user to register.,Driving,,
PR-09,Application shall enable user to select his/ her Gender,User Profile,Ubiquitous,The system shall allow the user to select his/ her Gender.,,ubiquitous,The system shall allow the user to select his/ her Gender.,Driving,,
PR-09,Application shall enable user to upload his/her picture,User Profile,Ubiquitous,The system shall allow the user to upload his/her picture.,,ubiquitous,The system shall allow the user to upload his/her picture.,Driving,,
PR-09,Application shall enable user to insert his / her CNIC#,User Profile,Ubiquitous,The system shall allow user to insert his / her CNIC#.,,ubiquitous,The system shall allow user to insert his / her CNIC#.,Driving,,
PR-09,Application shall enable user to insert his /her City,User Profile,Ubiquitous,The sytem shall allow the user to insert his /her City.,,ubiquitous,The sytem shall allow the user to insert his /her City.,Driving,,
PR-09,Application shall enable Administrator to Login into system by providing his / her valid email and password,Administrator Login,Ubiquitous,The system shall allow the sdministrator to login by providing his / her valid email and password.,,ubiquitous,The system shall allow the sdministrator to login by providing his / her valid email and password.,Driving,,
PR-10,The system shall enable commercial users and customers to register. ,Sign in & sign up,Ubiquitous,The system shall allow commercial users and customers to register. ,,ubiquitous,The system shall allow commercial users and customers to register. ,Event,,
PR-10,"The system shall ask name, email address, password and confirm password from them.",Sign in & sign up,Ubiquitous,"The system shall ask name, email address, password and confirm password to commercial users and customers for registration.",,ubiquitous,"The system shall ask name, email address, password and confirm password to commercial users and customers for registration.",Event,,
PR-10,The system shall enable commercial users and customers to login.  ,Sign in & sign up,Ubiquitous,The system shall allow the commercial users and customers to login.  ,,ubiquitous,The system shall allow the commercial users and customers to login.  ,Event,,
